Schaltschrank				
	Motorschutzschalter PKZM0-0,63	E-MS-S-0002-0006-001	15393	50,676
	Motorschutzschalter PKZM0-1	E-MS-S-0010-0010-001	7657	28,96
	Motorschutzschalter PKZM0-1,6-SC	E-MS-S-0010-0016-002	7658	47,7544
	Motorschutzschalter MOE PKZM0 - 6.3-SC	E-MS-S-0040-0063-002	7665	49,2151
	Motorschutzschalter MOE PKZM0-10-SC	E-MS-S-0063-0100-002	7668	55,1142
	Motorschutzschalter PKZM0-16-SC	E-MS-S-0100-0160-002	7671	56,7434
	Motorschutzschalter PKZM0-20	E-MS-S-0160-0200-001	7672	59,5346
	Motorschutzschalter PKZMO - 25	E-MS-S-0200-0250-001	7673	71,5561
	Motorschutzschalter PKZMO - 32	E-MS-S-0250-0320-001	7674	85,272
	Motorschutzschalter PKZM4-50	E-MS-S-0400-0500-001	7676	144,7625
	Motorschutzschalter PKZM4-63	E-MS-S-055-063-001	7677	166,8594
	EATON Hilfsk. NHI-E-11-PKZ0 1S1O	E-MS-ZUB-HS-1S-1O-FA-001	43109	7,2701
	Klemmenblock BK 25/3  PKZO	E-MS-ZUB-ASK-001	7684	7,0789
	Drehstrom Schienenblock B3.1/2 - PKZO	E-MS-ZUB-DSB-1-2-001	7686	5,6
	Drehstrom Schienenblock B3.0/3 - PKZO	E-MS-ZUB-DSB-1-3-002	7688	8,9891
	Drehstrom Schienenblock B3.0/4 - PKZO	E-MS-ZUB-DSB-1-4-002	7690	10,0003
	Drehstrom Schienenblock B3.0/5 - PKZO	E-MS-ZUB-DSB-1-5-002	43155	11,22
Sanftstarter				
	Sanftstarter 7,5kW/400V Best.-Nr.3RW30 18-1BB04	E-EC-SS-400-75-24-002	7258	198
	Sanftstarter 15kW/480V Best.-Nr.3RW40 27	E-EC-SS-480-15-24-001	7260	373,44
	Sanftstarter 11kW/400V Best.-Nr.3RW30 26	E-EC-SS-400-11-24-002	7254	178,61
	Sanftstarter 7,5kW/600V Best.-Nr.3RW40 24-1BB05	E-EC-SS-600-75-24-001	24694	227,85
	Sanftstarter 15kW/600V Best.-Nr.3RW40 26-1BB05	E-EC-SS-600-15-24-001	7261	363
Netzteil 24 V				
	Netzteil Prim.3 x 400 V, Sek. 24VDC/5A T	E-SV-N-400-024-5-002	8434	73,91
	Netzteil Prim. 3 x 400 V, Sek. 24VDC/10A	E-SV-N-400-024-10-002	8431	103,5
	Netzteil Prim. 3 x 400 V, Sek. 24VDC/20A Typ Trio-PS/3AC/24DC/20	E-SV-N-400-024-20-001	8432	177,67
Sicherheitsrelais				
	Sicherheitsrelais Phoenix verz. 3+2S 1O	E-NA-R-5S-1OE-2K-24-001	7706	176,81
Not-Aus				
	Not-Aus-Taste MOE im Gehäuse, M22-PV/KC11/IY	E-NA-T-PZ-OS-002	7711	33,3234
	Not-Aus-Schild 4-sprachig, neue Moeller-Bez.: M22-XAK1 (alte Bez.Klo-Mo 1AK-1999	E-BM-ZUB-NAS-002	7211	4,2993
	Moeller M22-K01 Kontaktelement, Frontbefestigung, 1 Öffner	E-BM-ZUB-KE-1OE-FB-001	7203	2,1383
	Moeller Typ M22-PV Not-Aus-Schalter 216876	E-NA-T-PZ-OS-003	7712	16,9983
	Befestigungsadapter Moeller M22 - A	E-BM-LZ-BA-002	7170	1,4193
	Schmersal Seilzugschalter ZQ 900-22 2Ö/2S	E-NA-SZ-ZOE-20-2S-2OE-002	7710	111,9
	Halter Seilzugschalter Schmersal ZQ900	LT-09005-100-000-001-G-A	10125	9,68
	Reißleine 3 mm mit roter Kunststoffummantelung,50m	E-NA-RL-03-50-ROT-002	7707	0,588
	Drahtseilklemme verz. für Ø 3,0mm DIN 74	MT-DSK-03-741-VZ	11568	0,4337
	Drahtseilkausche verz. Ø 3,0mm Ausf. B D	MT-DSKA-03-6899-VZ	11570	0,9053
	Augenschrauben galv. verz DIN 444 4.6 M1	VBT-ASR-M10-40	13221	0,5255
	Spannschloß DIN1480 - M8, verzinkt, Öse	VBT-SPS-M08-1480-VZ-1H-1OE	13526	1,25
SPS				
	Zentralbaugruppe CPU 214 24V  DC  10DA/14DI	E-SPS-S7-22-CPU-214-001	8191	348,8
	Siemens Profibus DPV1 Modul für S7-1200 als Slave	E-SPS-S7-1200-PRB-002	8190	303,4
	Profibus DPV1 Modul zur Verwendung der S7-1200	E-SPS-S7-1200-PRB-001	8189	356,7
	Erweiterungsmodul  SM 1223,16DE/16DA , 6ES7223-1BL30-0XB0	E-SPS-S7-22-EM-16I-160-002	8198	246,4
	Erweiterungsmodul,  16 Dig-Eingänge, SM 1221DC	E-SPS-S7-22-EM-16I-001	8196	156
	Erweiterungsmodul,  8 Dig-Eingänge, SM 1221DC		8200	175
